sample_id,feature,shap_value,feature_value,model,target
2,linear_log_p,0.18491224156834646,-2.2304999828338623,linear,log_kcat_value
3,linear_log_p,-0.1280531840903218,0.3181000053882599,linear,log_kcat_value
4,linear_log_p,0.24209831624498054,-2.6863999366760254,linear,log_kcat_value
5,linear_log_p,-0.312982597657585,1.7513999938964844,linear,log_kcat_value
6,linear_log_p,-0.09826806215658554,0.04989999905228615,linear,log_kcat_value
7,linear_log_p,-0.13717951884137755,0.20520000159740448,linear,log_kcat_value
8,linear_log_p,0.051742385967800154,-1.1269999742507935,linear,log_kcat_value
9,linear_log_p,0.2779564581364453,-3.015899896621704,linear,log_kcat_value
10,linear_log_p,-0.05443006622023062,-0.3059999942779541,linear,log_kcat_value
11,linear_log_p,0.14640296536332797,-1.8630000352859497,linear,log_kcat_value
12,linear_log_p,-0.24040105679574159,1.1789000034332275,linear,log_kcat_value
13,linear_log_p,-0.24604510973276872,1.1518199443817139,linear,log_kcat_value
14,linear_log_p,0.21253257219101115,-2.452899932861328,linear,log_kcat_value
15,linear_log_p,0.0,-0.49880000948905945,linear,log_kcat_value
16,linear_log_p,0.11620872595113363,-1.6713000535964966,linear,log_kcat_value
17,linear_log_p,-0.10215549403108648,0.18050000071525574,linear,log_kcat_value
18,linear_log_p,0.3204338565425769,-3.221400022506714,linear,log_kcat_value
19,linear_log_p,-0.7466844887681359,5.2357401847839355,linear,log_kcat_value
20,linear_log_p,-0.2733732293411448,1.4072999954223633,linear,log_kcat_value
21,linear_log_p,0.0,-0.3578000068664551,linear,log_kcat_value
22,linear_log_p,0.0,-1.1049000024795532,linear,log_kcat_value
23,linear_log_p,0.20006297103815918,-2.2119998931884766,linear,log_kcat_value
24,linear_log_p,-0.4955884674408905,3.172600030899048,linear,log_kcat_value
25,linear_log_p,1.701718371382284,-14.257800102233887,linear,log_kcat_value
26,linear_log_p,0.2547262519376686,-2.6863999366760254,linear,log_kcat_value
27,linear_log_p,-1.5481696869096866,11.542499542236328,linear,log_kcat_value
28,linear_log_p,-0.3094976531971391,1.7745000123977661,linear,log_kcat_value
29,linear_log_p,-0.1685790562609271,0.640999972820282,linear,log_kcat_value
30,linear_log_p,-0.3426580857477867,1.9493000507354736,linear,log_kcat_value
31,linear_log_p,0.0,-0.6657000184059143,linear,log_kcat_value
32,linear_log_p,1.1172038212918838,-9.468000411987305,linear,log_kcat_value
33,linear_log_p,0.24501488310210967,-2.5694000720977783,linear,log_kcat_value
34,linear_log_p,0.21973715312885464,-2.5694000720977783,linear,log_kcat_value
35,linear_log_p,0.26399222351658647,-3.015899896621704,linear,log_kcat_value
36,linear_log_p,0.5273495524981054,-4.8277997970581055,linear,log_kcat_value
37,linear_log_p,0.19979180448404668,-2.335700035095215,linear,log_kcat_value
38,linear_log_p,0.32209337424482876,-3.2827000617980957,linear,log_kcat_value
39,linear_log_p,-0.09249347036508615,-0.0024999999441206455,linear,log_kcat_value
40,linear_log_p,-0.08970586452578756,-0.0024999999441206455,linear,log_kcat_value
41,linear_log_p,-0.7764715371666151,5.349999904632568,linear,log_kcat_value
42,linear_log_p,0.0479959360136175,-1.066499948501587,linear,log_kcat_value
43,linear_log_p,0.23535505862072717,-2.5694000720977783,linear,log_kcat_value
44,linear_log_p,0.20758382251139332,-2.335700035095215,linear,log_kcat_value
45,linear_log_p,-0.20007366184466194,0.8248999714851379,linear,log_kcat_value
